timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729572775263,163,signoff-0,302,Found,Thread Group 1-2,,true,,785,568,9,9,https://jpetstore.aspectran.com/account/signoff,163,0,0
1729572775426,166,signoff-1,200,OK,Thread Group 1-2,text,true,,6903,553,9,9,https://jpetstore.aspectran.com/,165,0,0
1729572775309,338,signoff,200,OK,Thread Group 1-3,text,true,,7550,1121,8,8,https://jpetstore.aspectran.com/,165,0,0
1729572775309,165,signoff-0,302,Found,Thread Group 1-3,,true,,786,568,8,8,https://jpetstore.aspectran.com/account/signoff,165,0,0
1729572775474,173,signoff-1,200,OK,Thread Group 1-3,text,true,,6764,553,8,8,https://jpetstore.aspectran.com/,173,0,0
1729572775372,355,signon,200,OK,Thread Group 1-6,text,true,,7793,1394,7,7,https://jpetstore.aspectran.com/,171,0,0
1729572775372,171,signon-0,302,Found,Thread Group 1-6,,true,,881,733,7,7,https://jpetstore.aspectran.com/account/signon,171,0,0
1729572775543,184,signon-1,200,OK,Thread Group 1-6,text,true,,6912,661,7,7,https://jpetstore.aspectran.com/,176,0,0
1729572775388,380,signoff,200,OK,Thread Group 1-1,text,true,,7692,1121,7,7,https://jpetstore.aspectran.com/,183,0,0
1729572775388,183,signoff-0,302,Found,Thread Group 1-1,,true,,790,568,7,7,https://jpetstore.aspectran.com/account/signoff,183,0,0
1729572775572,196,signoff-1,200,OK,Thread Group 1-1,text,true,,6902,553,7,7,https://jpetstore.aspectran.com/,187,0,0
1729572775481,369,newAccount,200,OK,Thread Group 1-9,text,true,,7574,1645,6,6,https://jpetstore.aspectran.com/account/signonForm?created=true,178,0,0
1729572775481,178,newAccount-0,302,Found,Thread Group 1-9,,true,,821,949,6,6,https://jpetstore.aspectran.com/account/newAccount,178,0,0
1729572775659,191,newAccount-1,200,OK,Thread Group 1-9,text,true,,6753,696,6,6,https://jpetstore.aspectran.com/account/signonForm?created=true,180,0,0
1729572775603,368,signoff,200,OK,Thread Group 1-4,text,true,,7654,1121,6,6,https://jpetstore.aspectran.com/,176,0,0
1729572775603,176,signoff-0,302,Found,Thread Group 1-4,,true,,785,568,6,6,https://jpetstore.aspectran.com/account/signoff,176,0,0
1729572775779,192,signoff-1,200,OK,Thread Group 1-4,text,true,,6869,553,6,6,https://jpetstore.aspectran.com/,190,0,0
1729572775665,375,signon,200,OK,Thread Group 1-7,text,true,,7754,1394,5,5,https://jpetstore.aspectran.com/,187,0,0
1729572775665,187,signon-0,302,Found,Thread Group 1-7,,true,,888,733,5,5,https://jpetstore.aspectran.com/account/signon,187,0,0
1729572775852,188,signon-1,200,OK,Thread Group 1-7,text,true,,6866,661,5,5,https://jpetstore.aspectran.com/,186,0,0
1729572775775,337,signoff,200,OK,Thread Group 1-5,text,true,,7695,1121,5,5,https://jpetstore.aspectran.com/,165,0,0
1729572775775,165,signoff-0,302,Found,Thread Group 1-5,,true,,786,568,5,5,https://jpetstore.aspectran.com/account/signoff,165,0,0
1729572775941,171,signoff-1,200,OK,Thread Group 1-5,text,true,,6909,553,5,5,https://jpetstore.aspectran.com/,170,0,0
1729572775822,345,signon,200,OK,Thread Group 1-8,text,true,,7795,1394,4,4,https://jpetstore.aspectran.com/,176,0,0
1729572775822,176,signon-0,302,Found,Thread Group 1-8,,true,,884,733,4,4,https://jpetstore.aspectran.com/account/signon,176,0,0
1729572775998,169,signon-1,200,OK,Thread Group 1-8,text,true,,6911,661,4,4,https://jpetstore.aspectran.com/,168,0,0
1729572776039,375,signoff,200,OK,Thread Group 1-6,text,true,,7554,1121,4,4,https://jpetstore.aspectran.com/,168,0,0
1729572776039,168,signoff-0,302,Found,Thread Group 1-6,,true,,785,568,4,4,https://jpetstore.aspectran.com/account/signoff,168,0,0
1729572776207,207,signoff-1,200,OK,Thread Group 1-6,text,true,,6769,553,4,4,https://jpetstore.aspectran.com/,206,0,0
1729572776165,354,signon,200,OK,Thread Group 1-9,text,true,,7648,1394,3,3,https://jpetstore.aspectran.com/,176,0,0
1729572776165,176,signon-0,302,Found,Thread Group 1-9,,true,,885,733,3,3,https://jpetstore.aspectran.com/account/signon,176,0,0
1729572776341,178,signon-1,200,OK,Thread Group 1-9,text,true,,6763,661,3,3,https://jpetstore.aspectran.com/,177,0,0
1729572776351,359,signoff,200,OK,Thread Group 1-7,text,true,,7545,1121,3,3,https://jpetstore.aspectran.com/,178,0,0
1729572776351,178,signoff-0,302,Found,Thread Group 1-7,,true,,785,568,3,3,https://jpetstore.aspectran.com/account/signoff,178,0,0
1729572776529,181,signoff-1,200,OK,Thread Group 1-7,text,true,,6760,553,3,3,https://jpetstore.aspectran.com/,181,0,0
1729572776476,349,signoff,200,OK,Thread Group 1-8,text,true,,7690,1121,2,2,https://jpetstore.aspectran.com/,170,0,0
1729572776476,170,signoff-0,302,Found,Thread Group 1-8,,true,,786,568,2,2,https://jpetstore.aspectran.com/account/signoff,170,0,0
1729572776647,178,signoff-1,200,OK,Thread Group 1-8,text,true,,6904,553,2,2,https://jpetstore.aspectran.com/,177,0,0
1729572776820,356,signoff,200,OK,Thread Group 1-9,text,true,,7694,1121,1,1,https://jpetstore.aspectran.com/,177,0,0
1729572776820,177,signoff-0,302,Found,Thread Group 1-9,,true,,788,568,1,1,https://jpetstore.aspectran.com/account/signoff,177,0,0
1729572776997,179,signoff-1,200,OK,Thread Group 1-9,text,true,,6906,553,1,1,https://jpetstore.aspectran.com/,177,0,0
